=== Age Group For Passengers ===
code,fullname,age,country,status,rescued
13,Ben Dhifallah Karim,32,Sweden,Passenger,Yes
14,Santos Carlos,33,Portugal,Passenger,yes
15,Korner Karl,34,Greece,Passenger,yes
16,Fayed Paul,35,Hungary,Passenger,yes
86,Zhang Lin,19,San Marino,Passenger,yes
87,Simelane Zakhele,20,Russia,Passenger,yes
89,Adam Jean,22,United Kingdom,Passenger,Yes
90,Lim Abby,23,France,Passenger,Yes
91,Zhou Lei,24,Italy,Passenger,yes
92,Zhang Anson,25,Spain,Passenger,yes
93,Akhmadiyeva Marat,26,Poland,Passenger,no
94,Alonso Luis,27,Ukraine,Passenger,yes
95,Nariman Wendy,28,Romania,Passenger,yes
96,Xu Hao,29,Netherlands,Passenger,yes
97,Abdalas Aharon,30,Belgium,Passenger,yes
98,Zhang Ning,31,Czech Republic (Czechia),Passenger,yes
100,Loan Don,33,Portugal,Passenger,Yes
101,Dobrunov Alexander,34,Greece,Passenger,Yes
102,Wang Peng,35,Hungary,Passenger,yes
162,Mahmoud Sayed,19,Latvia,Passenger,no
163,Smith George,20,North Macedonia,Passenger,yes
164,Wang Wei,21,Estonia,Passenger,yes
166,Lim Abdul Rashid,23,Montenegro,Passenger,Yes
167,Hassan Victor,24,Malta,Passenger,Yes
168,Gonzalez Carlos,25,Iceland,Passenger,yes
169,Fampas Georgios,26,Andorra,Passenger,no
170,Roindefo Marc,27,Liechtenstein,Passenger,yes
171,Bauder Alfina,28,Monaco,Passenger,yes
172,Blanc Jean-Pierre,29,San Marino,Passenger,yes
173,Alvarez Hector,30,Russia,Passenger,no
174,Do Ching,31,Germany,Passenger,yes
175,Yang Yang,32,United Kingdom,Passenger,yes
177,Ahmadzai Abdul Rahim,34,Italy,Passenger,Yes
178,Hassan Youssef,35,Spain,Passenger,Yes
238,Maazou Ouwo Moussa,19,Finland,Passenger,yes
239,Abdalas David,20,Norway,Passenger,no
240,Schmidt Rudolf,21,Slovakia,Passenger,yes
241,Al-Khas Zaid,22,Ireland,Passenger,yes
243,Ivanov Alexei,24,Bosnia and Herzegovina,Passenger,Yes
244,Yoon Akihiko,25,Moldova,Passenger,Yes
245,Jones Christopher,26,Lithuania,Passenger,no
246,Wu Li,27,Albania,Passenger,yes
247,Karat Hector Hugh,28,Slovenia,Passenger,yes
248,Khaki Edward,29,Latvia,Passenger,yes
249,Rodriguez Miguel,30,North Macedonia,Passenger,yes
250,Lei Jun,31,Estonia,Passenger,no
251,Kim Chan,32,Luxembourg,Passenger,yes
252,Babar Faisal,33,Montenegro,Passenger,yes
254,Li Baby,35,Iceland,Passenger,Yes
314,Fampas Georgios,19,Sweden,Passenger,yes
315,Gonzalez Arturo,20,Portugal,Passenger,yes
316,Coetzee John,21,Greece,Passenger,no
317,Brown Peter,22,Hungary,Passenger,yes
318,Suarez Guido,23,Austria,Passenger,yes
320,Liu Hao,25,Switzerland,Passenger,Yes
321,Bahaina Esti,26,Bulgaria,Passenger,Yes
322,Garcia Juan,27,Serbia,Passenger,yes
323,Perez Ivan,28,Denmark,Passenger,yes
324,Yang Bingbing,29,Finland,Passenger,yes
325,Li Wei,30,Norway,Passenger,yes
326,Barbu Valentin,31,Slovakia,Passenger,yes
327,Khan Aafia,32,Ireland,Passenger,no
328,Campos Alfonso,33,Croatia,Passenger,yes
329,Li Wei,34,Bosnia and Herzegovina,Passenger,yes
390,Agrest Andrei,19,United Kingdom,Passenger,no
391,Wilson George,20,France,Passenger,yes
392,Becker Werner,21,Italy,Passenger,yes
393,Zhang Michael,22,Spain,Passenger,yes
394,Manninen Sami,23,Poland,Passenger,yes
395,Bouzid Aharon,24,Ukraine,Passenger,yes
397,Martinez Sergio,26,Netherlands,Passenger,Yes
398,Aquino John,27,Belgium,Passenger,Yes
399,Johnson David,28,Czech Republic (Czechia),Passenger,yes
400,Li Yang,29,Sweden,Passenger,yes
401,Thielsch Muhammad,30,Portugal,Passenger,yes
402,Jones Paul,31,Greece,Passenger,yes
403,Dego Angel,32,Hungary,Passenger,yes
404,Li Jun,33,Austria,Passenger,no
405,Maazou Mahamane,34,Belarus,Passenger,yes
406,Zhu Lin,35,Switzerland,Passenger,yes
466,Kamkar Hossein,19,Luxembourg,Passenger,no
467,Codreanu Victor,20,Montenegro,Passenger,yes
468,Hsu Sam,21,Malta,Passenger,yes
469,Wang Wei,22,Iceland,Passenger,yes
470,Zaland Shahla Zaland 0,23,Andorra,Passenger,no
471,David Jacques,24,Liechtenstein,Passenger,yes
472,Jones George,25,Monaco,Passenger,yes
474,Wang Ben,27,Russia,Passenger,Yes
475,Wang Jun,28,Germany,Passenger,Yes
476,Dobrunov Andrei,29,United Kingdom,Passenger,yes
477,Fernandez Leo,30,France,Passenger,yes
478,Chen Anson,31,Italy,Passenger,yes
479,Yang Jun,32,Spain,Passenger,yes
480,Sezer Osuz,33,Poland,Passenger,yes
481,Zhang Ben,34,Ukraine,Passenger,yes
482,Gilels Anna,35,Romania,Passenger,yes
542,Kowalski Krzysztof,19,Ireland,Passenger,no
543,Yoon Hyo-Jin,20,Croatia,Passenger,yes
544,Alonso Francisco,21,Bosnia and Herzegovina,Passenger,yes
545,Loan Chau,22,Moldova,Passenger,yes
546,Hoang Binh,23,Lithuania,Passenger,yes
547,Agrest Kanstantsin,24,Albania,Passenger,no
548,Mangalaza Andry,25,Slovenia,Passenger,yes
549,Boy Aff,26,Latvia,Passenger,yes
551,Popov Ivan,28,Estonia,Passenger,Yes
552,Avsenik Zeljko,29,Luxembourg,Passenger,no
553,Zhang Chen,30,Montenegro,Passenger,yes
554,Aghdamski Rafael,31,Malta,Passenger,yes
555,Chen Michael,32,Iceland,Passenger,yes
556,Bethke Jesse,33,Andorra,Passenger,yes
557,Anwar Abdul Rahman,34,Liechtenstein,Passenger,yes
558,Khan Muhammad,35,Monaco,Passenger,no
618,Baya Karim,19,Hungary,Passenger,Yes
619,Khan John,20,Austria,Passenger,yes
620,Muller Hans,21,Belarus,Passenger,yes
621,Kovacs Ferenc,22,Switzerland,Passenger,yes
622,Karat Palghat,23,Bulgaria,Passenger,yes
623,Adjaye El-Farouk,24,Serbia,Passenger,yes
624,Cruz Nikki,25,Denmark,Passenger,no
625,Yang Michael,26,Finland,Passenger,yes
626,Zhang Hao,27,Norway,Passenger,yes
628,Aa Wim,29,Ireland,Passenger,Yes
629,Kobayashi Daisuke,30,Croatia,Passenger,no
630,Zhang Wei,31,Bosnia and Herzegovina,Passenger,yes
631,Wang Jie,32,Moldova,Passenger,yes
632,Anwar Taufik,33,Lithuania,Passenger,yes
633,Wei Wei,34,Albania,Passenger,yes
634,Sanchez David,35,Slovenia,Passenger,yes
694,Lien Batong,19,Spain,Passenger,Yes
695,Li Chen,20,Poland,Passenger,Yes
696,Xu Ai,21,Ukraine,Passenger,yes
697,Becker Franz,22,Romania,Passenger,yes
698,Nguyen Billinjer C,23,Netherlands,Passenger,yes
699,Caveda Angel,24,Belgium,Passenger,yes
700,Hamdan Zohair,25,Czech Republic (Czechia),Passenger,yes
701,Xu Ning,26,Sweden,Passenger,no
702,Baldini John,27,Portugal,Passenger,yes
703,Hleb Chaim Azriel,28,Greece,Passenger,yes
705,Zhao Lei,30,Austria,Passenger,Yes
706,Yang Jie,31,Belarus,Passenger,Yes
707,Zhou Hao,32,Switzerland,Passenger,yes
708,Arroyo Gabriel,33,Bulgaria,Passenger,yes
709,Martens Jan,34,Serbia,Passenger,yes
710,LuaLua Barbara,35,Denmark,Passenger,yes
771,Davis David,20,Andorra,Passenger,Yes
772,Taviv Avraham,21,Liechtenstein,Passenger,Yes
773,Lee Am,22,Monaco,Passenger,yes
774,Williams John,23,San Marino,Passenger,yes
775,Suzuki Takeshi,24,Russia,Passenger,yes
776,Alcazar Abdelaziz,25,Germany,Passenger,yes
777,Hansen Svend,26,United Kingdom,Passenger,yes
778,Zhang Zhi,27,France,Passenger,yes
779,Alves Paulo,28,Italy,Passenger,yes
780,Goenka Ernest B,29,Spain,Passenger,yes
782,Yang Zhang,31,Ukraine,Passenger,Yes
783,Becker Karl,32,Romania,Passenger,Yes
784,Alves Wilson,33,Netherlands,Passenger,yes
785,Zhang Peng,34,Belgium,Passenger,yes
786,Kato Jun,35,Czech Republic (Czechia),Passenger,no
846,Li Zheng,19,Moldova,Passenger,yes
848,Alonso Ruben,21,Albania,Passenger,Yes
849,Smith Mark,22,Slovenia,Passenger,no
850,Chen Michael,23,Latvia,Passenger,yes
851,Liu Yang,24,North Macedonia,Passenger,yes
852,Liu Bingbing,25,Estonia,Passenger,yes
853,Baya Hichem,26,Luxembourg,Passenger,yes
854,Zhang Lei,27,Montenegro,Passenger,yes
855,Doan Huong,28,Malta,Passenger,no
856,Bethke Chris,29,Iceland,Passenger,yes
857,Shevchenko Anna,30,Andorra,Passenger,yes
859,Garcia Francis,32,Monaco,Passenger,Yes
860,Machado Emperor of Brazil,33,San Marino,Passenger,Yes
861,Kountche Hamani,34,Russia,Passenger,yes
862,Zhang Yang,35,Germany,Passenger,no
922,Chen Hao,19,Switzerland,Passenger,yes
923,Santos Paulo,20,Bulgaria,Passenger,yes
925,Lambo Ilguilas,22,Denmark,Passenger,Yes
926,Berman Alexander,23,Finland,Passenger,no
927,Peretz Yitzhak,24,Norway,Passenger,yes
928,Rodriguez Guillermo,25,Slovakia,Passenger,yes
929,Tembo Rainford,26,Ireland,Passenger,yes
930,Dobrunov Alexey,27,Croatia,Passenger,yes
931,Liu Jie,28,Bosnia and Herzegovina,Passenger,yes
932,Wang Jie,29,Moldova,Passenger,no
933,Lin Alec,30,Lithuania,Passenger,yes
934,Jones Jack,31,Albania,Passenger,yes
936,Reyes Cesar,33,Latvia,Passenger,Yes
937,Goma Artur,34,North Macedonia,Passenger,Yes
938,Gonzalez Gabriel,35,Estonia,Passenger,no
998,Yang Chae-young,19,Romania,Passenger,no
999,Delano Bertrand,20,Netherlands,Passenger,yes
1000,Bravo Alfonso,21,Belgium,Passenger,yes
1002,Berman Mikhail,23,Sweden,Passenger,Yes
1003,Li Lin,24,Portugal,Passenger,Yes
1004,Andersen Per,25,Greece,Passenger,yes
1005,Zhou Lei,26,Hungary,Passenger,yes
1006,Wang Chen,27,Austria,Passenger,yes
1007,Zhao Zhang,28,Belarus,Passenger,yes
1008,Hoffmann Walter,29,Switzerland,Passenger,yes
1009,Minh Ching,30,Bulgaria,Passenger,no
1010,Yang Lin,31,Serbia,Passenger,yes
1011,Zhang Baoping,32,Denmark,Passenger,yes
1013,Rodriguez Jorge,34,Norway,Passenger,Yes
1014,Li Peng,35,Slovakia,Passenger,Yes
1074,Chihab Aharon,19,Monaco,Passenger,yes
1075,Alhouthi Miriam,20,San Marino,Passenger,yes
1076,Bravo Adriana,21,Russia,Passenger,yes
1077,Gonzalez Diego,22,Germany,Passenger,yes
1079,Zhu Lei,24,France,Passenger,Yes
1080,Levy Eli,25,Italy,Passenger,Yes
1081,Li Wei,26,Spain,Passenger,yes
1082,Kobayashi Jun,27,Poland,Passenger,yes
1083,Xu Bing,28,Ukraine,Passenger,no
1084,Chavez Andres,29,Romania,Passenger,yes
1085,Akongo Emanuel,30,Netherlands,Passenger,yes
1086,Baloch Aamer,31,Belgium,Passenger,yes
1087,Lee Min-Jung,32,Czech Republic (Czechia),Passenger,yes
1088,Carias Andino Jose Trinidad,33,Sweden,Passenger,yes
1090,Loan Anh,35,Greece,Passenger,Yes
1150,Souza Marcelo,19,Slovenia,Passenger,yes
1151,Ben-Shlomo Haim,20,Latvia,Passenger,yes
1152,Smith John,21,North Macedonia,Passenger,no
1153,Tchami Christopher,22,Estonia,Passenger,yes
1154,Li Cheng,23,Luxembourg,Passenger,yes
1156,Wang Yang,25,Malta,Passenger,Yes
1157,Jong Ad,26,Iceland,Passenger,Yes
1158,Zhang Lin,27,Andorra,Passenger,yes
1159,Hoffmann Hans,28,Liechtenstein,Passenger,no
1160,Lederer Jan,29,Monaco,Passenger,yes
1161,Wei Yang,30,San Marino,Passenger,yes
1162,Zhou Lei,31,Russia,Passenger,yes
1163,Paras Of Nepal Balbhadra,32,Germany,Passenger,no
1164,Dia Antonio,33,United Kingdom,Passenger,yes
1165,Park Chan,34,France,Passenger,yes
1226,Wattansin Anand,19,Denmark,Passenger,yes
1227,Loan Billinjer C,20,Finland,Passenger,yes
1228,Bologan Serghei,21,Norway,Passenger,yes
1229,Djibo Abdoulaye,22,Slovakia,Passenger,no
1230,Escobar Juan,23,Ireland,Passenger,yes
1231,Charoenpura Anucha,24,Croatia,Passenger,yes
1233,Wu Andrew,26,Moldova,Passenger,Yes
1234,Perez Jesus,27,Lithuania,Passenger,Yes
1235,Doe Helene,28,Albania,Passenger,no
1236,Reyes Isabel,29,Slovenia,Passenger,yes
1237,Alva Alberto,30,Latvia,Passenger,yes
1238,Yang Jun,31,North Macedonia,Passenger,yes
1239,Wang Peng,32,Estonia,Passenger,yes
1240,Chen Wei,33,Luxembourg,Passenger,no
1241,Golovin Evgeny,34,Montenegro,Passenger,yes
1242,Gonzalez Alfonso,35,Malta,Passenger,yes

=== Age Group 36-50 ===

17,Charoenpura Somchai,36,Austria,Passenger,yes
18,Abe Kenji,37,Belarus,Passenger,yes
19,Li Lei,38,Switzerland,Passenger,no
20,Khan Babar,39,Bulgaria,Passenger,yes
21,Williams Jack,40,Serbia,Passenger,yes
23,Wagner Richard,42,Finland,Passenger,Yes
24,Basov Irina,43,Norway,Passenger,Yes
25,Bhiari Ammar,44,Slovakia,Passenger,yes
26,Wolf Paul,45,Ireland,Passenger,yes
27,Burns Frank,46,Croatia,Passenger,yes
28,Goma Ina,47,Bosnia and Herzegovina,Passenger,yes
29,Pham Anh,48,Moldova,Passenger,yes
30,Liu Yang,49,Lithuania,Passenger,no
31,Balmaceda Patricio,50,Albania,Passenger,yes
37,Reyes Antonio,46,Montenegro,Passenger,yes
38,Svensson Ernst,47,Malta,Passenger,yes
39,Rossi Mauro,48,Iceland,Passenger,yes
40,Radafison Nirina,49,Andorra,Passenger,yes
41,Gauchan Crown Prince,50,Liechtenstein,Passenger,no
103,Zhang Wei,36,Austria,Passenger,yes
104,Seck Abdoulaye,37,Belarus,Passenger,yes
105,Nunez Luis Alberto,38,Switzerland,Passenger,yes
106,Schmidt Heinz,39,Bulgaria,Passenger,yes
107,Berg Hans,40,Serbia,Passenger,no
108,Kowalski Stanis,41,Denmark,Passenger,yes
109,Barbu Stefan,42,Finland,Passenger,yes
111,Garcia Francisco,44,Slovakia,Passenger,Yes
112,Li Lei,45,Ireland,Passenger,Yes
113,Schmidt Fritz,46,Croatia,Passenger,yes
114,Muller Karl,47,Bosnia and Herzegovina,Passenger,yes
115,Zhang Ai,48,Moldova,Passenger,yes
116,Castelli Marco,49,Lithuania,Passenger,yes
117,Ferrari Giuseppe,50,Albania,Passenger,yes
179,Zhu Zhong,36,Poland,Passenger,yes
180,Arnaud Bernard,37,Ukraine,Passenger,yes
181,Huang Chen,38,Romania,Passenger,yes
182,Nguyen Anh,39,Netherlands,Passenger,yes
183,Zhang Jun,40,Belgium,Passenger,yes
184,Shevchenko Anatoly,41,Czech Republic (Czechia),Passenger,yes
185,Bianchi Giovanni,42,Sweden,Passenger,yes
186,Ito Yuki,43,Portugal,Passenger,yes
188,Pilika Francois,45,Hungary,Passenger,Yes
189,Zhao Chen,46,Austria,Passenger,Yes
190,Malik Ahsan,47,Belarus,Passenger,yes
191,Kato Hideyuki,48,Switzerland,Passenger,yes
192,Rojas Roberto,49,Bulgaria,Passenger,no
193,Amenbar Roberto,50,Serbia,Passenger,yes
255,Cardinale Bechir,36,Andorra,Passenger,no
256,Li Jie,37,Liechtenstein,Passenger,yes
257,Wang Yang,38,Monaco,Passenger,yes
258,Chen Bingbing,39,San Marino,Passenger,yes
259,Ha Binh,40,Russia,Passenger,yes
260,Xu Hao,41,Germany,Passenger,yes
261,Zhang Ge,42,United Kingdom,Passenger,no
262,Jiang Lei,43,France,Passenger,yes
263,Ouma Ajuma Nasenyana,44,Italy,Passenger,yes
265,Hosseini Amin,46,Poland,Passenger,Yes
266,Garcia Antonio,47,Ukraine,Passenger,Yes
267,Yang Bingyi,48,Romania,Passenger,yes
268,Ouma Francis,49,Netherlands,Passenger,no
269,Caveda Haile,50,Belgium,Passenger,yes
331,Dube Barry,36,Lithuania,Passenger,Yes
332,Yang Lei,37,Albania,Passenger,no
333,Khan Imtiaz,38,Slovenia,Passenger,yes
334,Zhang Bing,39,Latvia,Passenger,yes
335,Golovin Anastasia,40,North Macedonia,Passenger,yes
336,Kuzmina Mikhail,41,Estonia,Passenger,yes
337,Gomes Camila,42,Luxembourg,Passenger,yes
338,Wu Chan,43,Montenegro,Passenger,no
339,Zhang Bingbing,44,Malta,Passenger,yes
340,Michel Jean-Pierre,45,Iceland,Passenger,yes
342,Aly Philibert,47,Liechtenstein,Passenger,Yes
343,Wang Yang,48,Monaco,Passenger,Yes
344,Richter Georg,49,San Marino,Passenger,no
345,Zhang Yang,50,Russia,Passenger,yes
408,Liu Zhang,37,Serbia,Passenger,Yes
409,Wang Lei,38,Denmark,Passenger,Yes
410,Wang Chun,39,Finland,Passenger,yes
411,Kobayashi Ken,40,Norway,Passenger,yes
412,Xu Yang,41,Slovakia,Passenger,yes
413,Blair Bruce,42,Ireland,Passenger,yes
414,Liu Jun,43,Croatia,Passenger,yes
415,Amin Abdul,44,Bosnia and Herzegovina,Passenger,no
416,Yamada Shigeru,45,Moldova,Passenger,yes
417,Obuya Adan Mohamed Nuur,46,Lithuania,Passenger,yes
419,Jahani Ehsan,48,Slovenia,Passenger,Yes
420,Andrade Rodrigo,49,Latvia,Passenger,Yes
421,Hussain Faisal,50,North Macedonia,Passenger,yes
483,Borges Jessica,36,Netherlands,Passenger,yes
485,Alvarez Carolina,38,Czech Republic (Czechia),Passenger,Yes
486,Gilels Viktor,39,Sweden,Passenger,Yes
487,Herrmann Walter,40,Portugal,Passenger,yes
488,Huang Hao,41,Greece,Passenger,yes
489,Jahani Mamoon Eshaq 0,42,Hungary,Passenger,no
490,Chen Jie,43,Austria,Passenger,yes
491,Silva Andre,44,Belarus,Passenger,yes
492,Reyes Rico,45,Switzerland,Passenger,yes
493,Zhang Chengdong,46,Bulgaria,Passenger,yes
494,Nguyen Bich Phuong,47,Serbia,Passenger,yes
496,Fampas Konstantinos,49,Finland,Passenger,Yes
497,Amsalem Benhalima,50,Norway,Passenger,Yes
559,Li Chen,36,San Marino,Passenger,yes
560,Fampas Nikos,37,Russia,Passenger,yes
562,Berman Albert,39,United Kingdom,Passenger,Yes
563,Fenter Justine,40,France,Passenger,Yes
564,Chen Changpeng,41,Italy,Passenger,yes
565,Ako Patrick,42,Spain,Passenger,no
566,Li Zheng,43,Poland,Passenger,yes
567,Allouache Edmond,44,Ukraine,Passenger,yes
568,Miller Tom,45,Romania,Passenger,yes
569,Thapa Babu Sherpa,46,Netherlands,Passenger,no
570,Roindefo Dimitri,47,Belgium,Passenger,yes
571,Smith George,48,Czech Republic (Czechia),Passenger,yes
573,Zhang Lei,50,Portugal,Passenger,Yes
635,Zhang Chen,36,Latvia,Passenger,no
636,Wang Jie,37,North Macedonia,Passenger,yes
637,Yang Jie,38,Estonia,Passenger,yes
639,Perez Isabel,40,Montenegro,Passenger,Yes
640,Bravo Juan,41,Malta,Passenger,Yes
641,Zhao Jun,42,Iceland,Passenger,no
642,Richter Karl,43,Andorra,Passenger,yes
643,Yoadimnadji Nassour Guelendouksia,44,Liechtenstein,Passenger,yes
644,Chokayev Karim,45,Monaco,Passenger,yes
645,Liu Ai,46,San Marino,Passenger,yes
646,Zhang Wei,47,Russia,Passenger,no
647,Suzuki Kenji,48,Germany,Passenger,yes
648,Aly Andry,49,United Kingdom,Passenger,yes
711,Yang Jun,36,Finland,Passenger,yes
712,Castro Eduardo,37,Norway,Passenger,no
713,Li Yang,38,Slovakia,Passenger,yes
714,Li Jie,39,Ireland,Passenger,yes
716,Young Mike,41,Bosnia and Herzegovina,Passenger,Yes
717,Sato Kaoru,42,Moldova,Passenger,Yes
718,Zhang Ning,43,Lithuania,Passenger,yes
719,Ako Alexandre Song,44,Albania,Passenger,yes
720,Chedid Ahmed H.,45,Slovenia,Passenger,yes
721,Yang Lei,46,Latvia,Passenger,yes
722,Liu Zhi,47,North Macedonia,Passenger,yes
